!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                     !
!          data file        :         put/spec.dat                    !
!          t-matrix file    :    output/tmatrix.tl                    !
!          rad integral file:    utput/tmatrix.rad                    !
!          cluster file     :     tput/cluster.clu                    !
!                                                                     !
!                                                                     !
!          spectroscopy     :      PHD        algorithm : SE          !
!               NO = 2  NDIF =  5  IFWD = 0  IPW = 0  ILENGTH = 0     !
!          inner potential  :      0.00 eV                            !
!                                                                     !
!          initial state    : 2p     selection rules: INITL =  2      !
!                                                                     !
!          incoming beam    :                                         !
!          THETA_LUM:    55.15  PHI_LUM:   -44.70  E_LUM:  1486.60 eV !
!                                                                     !
!          outgoing beam    :                                         !
!          THETA_INI:   -80.00      THETA_FIN:    79.50               !
!          PHI_INI  :     0.00      PHI_FIN  :     0.00               !
!          E_INI    :   379.10 eV   E_FIN    :   379.10 eV            !
!                                                                     !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

  PHD           CROSS-SECTION
  0  0  0  0  0  0  1  0
   1   320     1    7  0
    6  -72.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -72.00    0.00    379.10  0.165844E-03  0.732211E-03
    0  -72.00    0.00    379.10  0.165844E-03  0.732211E-03
   -1  -72.00    0.00    379.10  0.165844E-03  0.732211E-03
    1  -71.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -71.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -71.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -71.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -71.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -71.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -71.50    0.00    379.10  0.196496E-03  0.780851E-03
    0  -71.50    0.00    379.10  0.196496E-03  0.780851E-03
   -1  -71.50    0.00    379.10  0.196496E-03  0.780851E-03
    1  -71.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -71.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -71.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -71.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -71.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -71.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -71.00    0.00    379.10  0.230707E-03  0.786412E-03
    0  -71.00    0.00    379.10  0.230707E-03  0.786412E-03
   -1  -71.00    0.00    379.10  0.230707E-03  0.786412E-03
    1  -70.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -70.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -70.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -70.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -70.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -70.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -70.50    0.00    379.10  0.268612E-03  0.105077E-02
    0  -70.50    0.00    379.10  0.268612E-03  0.105077E-02
   -1  -70.50    0.00    379.10  0.268612E-03  0.105077E-02
    1  -70.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -70.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -70.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -70.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -70.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -70.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -70.00    0.00    379.10  0.310324E-03  0.928930E-03
    0  -70.00    0.00    379.10  0.310324E-03  0.928930E-03
   -1  -70.00    0.00    379.10  0.310324E-03  0.928930E-03
    1  -69.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -69.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -69.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -69.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -69.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -69.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -69.50    0.00    379.10  0.355944E-03  0.476867E-03
    0  -69.50    0.00    379.10  0.355944E-03  0.476867E-03
   -1  -69.50    0.00    379.10  0.355944E-03  0.476867E-03
    1  -69.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -69.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -69.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -69.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -69.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -69.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -69.00    0.00    379.10  0.405551E-03  0.683902E-03
    0  -69.00    0.00    379.10  0.405551E-03  0.683902E-03
   -1  -69.00    0.00    379.10  0.405551E-03  0.683902E-03
    1  -68.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -68.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -68.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -68.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -68.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -68.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -68.50    0.00    379.10  0.459207E-03  0.119196E-02
    0  -68.50    0.00    379.10  0.459207E-03  0.119196E-02
   -1  -68.50    0.00    379.10  0.459207E-03  0.119196E-02
    1  -68.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -68.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -68.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -68.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -68.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -68.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -68.00    0.00    379.10  0.516959E-03  0.939160E-03
    0  -68.00    0.00    379.10  0.516959E-03  0.939160E-03
   -1  -68.00    0.00    379.10  0.516959E-03  0.939160E-03
    1  -67.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -67.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -67.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -67.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -67.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -67.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -67.50    0.00    379.10  0.578836E-03  0.629701E-03
    0  -67.50    0.00    379.10  0.578836E-03  0.629701E-03
   -1  -67.50    0.00    379.10  0.578836E-03  0.629701E-03
    1  -67.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -67.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -67.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -67.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -67.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -67.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -67.00    0.00    379.10  0.644849E-03  0.118831E-02
    0  -67.00    0.00    379.10  0.644849E-03  0.118831E-02
   -1  -67.00    0.00    379.10  0.644849E-03  0.118831E-02
    1  -66.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -66.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -66.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -66.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -66.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -66.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -66.50    0.00    379.10  0.714998E-03  0.156780E-02
    0  -66.50    0.00    379.10  0.714998E-03  0.156780E-02
   -1  -66.50    0.00    379.10  0.714998E-03  0.156780E-02
    1  -66.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -66.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -66.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -66.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -66.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -66.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -66.00    0.00    379.10  0.789267E-03  0.111230E-02
    0  -66.00    0.00    379.10  0.789267E-03  0.111230E-02
   -1  -66.00    0.00    379.10  0.789267E-03  0.111230E-02
    1  -65.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -65.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -65.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -65.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -65.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -65.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -65.50    0.00    379.10  0.867627E-03  0.113747E-02
    0  -65.50    0.00    379.10  0.867627E-03  0.113747E-02
   -1  -65.50    0.00    379.10  0.867627E-03  0.113747E-02
    1  -65.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -65.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -65.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -65.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -65.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -65.00    0.00    379.10  0.000000E+00  0.000000E+00
