 energy -- xe (complex wv) -- vcon (real part ip)
   27.863299999999999                   (5.2894709638045576,-0.0000000000000000) -0.11520307693151624     

  -- absorber excited regular wf for all l -- 

  l=            0
   2.4782418034508175E-002             (-4.3948072291844591,-0.0000000000000000)
   2.5511312682581944E-002             (-4.2798278602062751,-0.0000000000000000)
   2.6240207330655713E-002             (-4.1666963415547880,-0.0000000000000000)
   2.6969101978729482E-002             (-4.0553880574408581,-0.0000000000000000)
   2.7697996626803251E-002             (-3.9458786490726152,-0.0000000000000000)
   2.8426891274877020E-002             (-3.8381440774176232,-0.0000000000000000)
   2.9155785922950789E-002             (-3.7321605677689957,-0.0000000000000000)
   3.0613575219098330E-002             (-3.5253523296045217,-0.0000000000000000)
   3.2071364515245872E-002             (-3.3252705397545164,-0.0000000000000000)
   3.3529153811393410E-002             (-3.1317354649852058,-0.0000000000000000)
   3.4986943107540948E-002             (-2.9445716838339693,-0.0000000000000000)
   3.6444732403688486E-002             (-2.7636081118914828,-0.0000000000000000)
   3.7902521699836024E-002             (-2.5886779167466276,-0.0000000000000000)
   3.9360310995983562E-002             (-2.4196184354174117,-0.0000000000000000)
   4.0818100292131100E-002             (-2.2562710724706423,-0.0000000000000000)
   4.2275889588278638E-002             (-2.0984812110831457,-0.0000000000000000)
   4.3733678884426176E-002             (-1.9460981238401256,-0.0000000000000000)
   4.5191468180573714E-002             (-1.7989748891728985,-0.0000000000000000)
   4.6649257476721252E-002             (-1.6569682957348553,-0.0000000000000000)
   4.8107046772868790E-002             (-1.5199387551798496,-0.0000000000000000)
   4.9564836069016328E-002             (-1.3877501858112771,-0.0000000000000000)
   5.1022625365163866E-002             (-1.2602700361222274,-0.0000000000000000)
   5.2480414661311404E-002             (-1.1373690935770848,-0.0000000000000000)
   5.3938203957458943E-002             (-1.0189214183252904,-0.0000000000000000)
   5.5395993253606481E-002            (-0.90480428285511905,-0.0000000000000000)
   5.6853782549754019E-002            (-0.79489808666125739,-0.0000000000000000)
   5.8311571845901557E-002            (-0.68908627899599140,-0.0000000000000000)
   5.9769361142049095E-002            (-0.58725528818467498,-0.0000000000000000)
   6.1227150438196633E-002            (-0.48929444353823959,-0.0000000000000000)
   6.2684939734344178E-002            (-0.39509590756353019,-0.0000000000000000)
   6.4142729030491716E-002            (-0.30455460749446089,-0.0000000000000000)
   6.5600518326639254E-002            (-0.21756815051688366,-0.0000000000000000)
   6.7058307622786792E-002            (-0.13403677539744402,-0.0000000000000000)
   6.8516096918934330E-002       (-5.38632820793134362E-002,-0.0000000000000000)
   6.9973886215081868E-002         (2.30470322634380199E-002,0.0000000000000000)
   7.1431675511229406E-002         (9.67864355608694243E-002,0.0000000000000000)
   7.2889464807376944E-002              (0.16744482150905177,0.0000000000000000)
   7.4347254103524482E-002              (0.23510976855367735,0.0000000000000000)
   7.5805043399672020E-002              (0.29986659851880965,0.0000000000000000)
